name,link,tagline,likes,usedBy
ARC - Bend your type!,https://www.figma.com/community/plugin/762070688792833472/arc-bend-your-type,"Curve your text upward, downward or into a circle",6000,805000
Spectrum,https://www.figma.com/community/plugin/993087744324640694/spectrum,Generate beautiful color palettes & apply them instantly to anything,1200,31000
Pixels,https://www.figma.com/community/plugin/775716538746765221/pixels,Apply Pixelate / 8bit Effect Filter on images.,1100,80800
QR Code Generator,https://www.figma.com/community/plugin/735650288109030027/qr-code-generator,‘QR Code Generator’ helps you to quickly create a Vector QR code.,1200,113000
Remove BG,https://www.figma.com/community/plugin/738992712906748191/remove-bg,Remove the background of images automatically with just a single click.,10300,1
"html.to.design — Import websites to Figma designs (web,html,css)",https://www.figma.com/community/plugin/1159123024924461424/html-to-design-import-websites-to-figma-designs-web-html-css,Convert any website into fully editable Figma designs,18200,1
"Mockup Plugin – Devices Mockups, Print Mockups, AI Mockups",https://www.figma.com/community/plugin/817043359134136295/mockup-plugin-devices-mockups-print-mockups-ai-mockups,Experience thousands of the highest quality mockups with the most user-friendly interface,11300,995000
Lorem Ipsum,https://www.figma.com/community/plugin/736000994034548392/lorem-ipsum,"Fill your designs with placeholders in a click: text, images and even data!",6800,988000
Icons8 Background Remover,https://www.figma.com/community/plugin/997643096679511216/icons8-background-remover,Remove background from one or many images at once!,4900,719000
Artboard Mockups,https://www.figma.com/community/plugin/750673765607708804/artboard-mockups,"Showcase your brand, products, and applications with realistic mockups",6500,691000
Vectary | 3D Studio Lite,https://www.figma.com/community/plugin/769588393361258724/vectary-3d-studio-lite,"Load your 3D models, set your view and materials as you desire and export it to a frame!",8300,682000
LottieFiles - Create animations & export from Figma to Lottie,https://www.figma.com/community/plugin/809860933081065308/lottiefiles-create-animations-export-from-figma-to-lottie,Animate Your Designs with Lottie Animations,9500,679000
To Path,https://www.figma.com/community/plugin/751576264585242935/to-path,✨ 𝙋𝙪𝙩 𝙖𝙣𝙮 𝙤𝙗𝙟𝙚𝙘𝙩𝙨 𝙤𝙧 𝙩𝙚𝙭𝙩 𝙤𝙣 𝙖 𝙥𝙖𝙩𝙝!,6700,654000
Noise,https://www.figma.com/community/plugin/752558325552095625/noise,Pixel perfect noise texture generation for Figma.,7400,579000
Figma to HTML,https://www.figma.com/community/plugin/851183094275736358/figma-to-html,Convert Figma design to HTML,4000,509000
Table Creator,https://www.figma.com/community/plugin/885838970710285271/table-creator,"Easily create tables that can be edited, resized and maintained using your design system",3100,498000
Figmotion,https://www.figma.com/community/plugin/733025261168520714/figmotion,Bringing motion to your Figma designs,4900,418000
Stark - Contrast & Accessibility Checker,https://www.figma.com/community/plugin/732603254453395948/stark-contrast-accessibility-checker,Fix Color Contrast and Typography issues and add WCAG annotations for a smooth design to dev handoff,6100,413000
Contrast,https://www.figma.com/community/plugin/748533339900865323/contrast,"Quickly check and scan for contrast issues on gradients, images, blends, and fills.",5400,404000
Mockuuups Studio,https://www.figma.com/community/plugin/786250770157843670/mockuuups-studio,Mockup generator with 4500+ device mockups.,3500,390000
TinyImage Compressor,https://www.figma.com/community/plugin/789009980664807964/tinyimage-compressor,"Export/downsize compressed JPG, PNG, SVG, WebP, GIF, WebM, MP4, AVIF and PDF image files from Figma",3300,377000
Convertify Sketch/Adobe/Google,https://www.figma.com/community/plugin/849159306117999028/convertify-sketch-adobe-google,"Export Figma to Sketch, XD, After Effects, or import XD, PDF, Illustrator, SVG, Google Docs to Figma",3300,366000
Noise & Texture,https://www.figma.com/community/plugin/1138854718618193875/noise-texture,"Generate dynamic seamless noise, textures and patterns.",7300,363000
Angle Mockups,https://www.figma.com/community/plugin/778645840235495725/angle-mockups,Apply perspective mockups to device screen vectors,2500,339000
Pitchdeck Presentation Studio,https://www.figma.com/community/plugin/838925615018625519/pitchdeck-presentation-studio,Turn your Figma designs into animated slide decks or export them to PowerPoint/PDF,4100,330000
PixCut Background Remover,https://www.figma.com/community/plugin/990188175789012011/pixcut-background-remover,Want to remove background from image free?,1400,319000
Beautiful Shadows,https://www.figma.com/community/plugin/1068595505353552645/beautiful-shadows,Create smooth and beautiful shadows,4800,316000
Color Palettes ( Colorsinspo ) : Color & Accessibility Tools,https://www.figma.com/community/plugin/740832935938649295/color-palettes-colorsinspo-color-accessibility-tools,A free suite of integrated Color & Accessibility tools - 10+ tools free access 🔥,2600,311000
